,Airline,Arrival airport,Codesharing,Scheduled departure,delay,iataNumber,status
11532,alaska airlines,sna,True,2023-09-10t08:09:00.000,14.0,as3450,active
11534,united airlines,tpa,True,2023-09-10t08:25:00.000,15.0,ua573,active
11539,united airlines,pdx,True,2023-09-10t08:25:00.000,27.0,ua746,active
11542,united airlines,bos,True,2023-09-10t08:25:00.000,14.0,ua1499,active
11551,united airlines,ord,True,2023-09-10t08:25:00.000,49.0,ua2145,active
11558,united airlines,iad,True,2023-09-10t08:25:00.000,84.0,ua2243,active
11560,united airlines,rno,True,2023-09-10t08:25:00.000,8.0,ua5409,active
11564,united airlines,smf,True,2023-09-10t08:25:00.000,11.0,ua5507,active
11566,united airlines,ont,True,2023-09-10t08:26:00.000,31.0,ua2357,active
11570,united airlines,yvr,True,2023-09-10t08:30:00.000,20.0,ua784,active
11571,united airlines,cmh,True,2023-09-10t08:30:00.000,47.0,ua1263,active
11577,united airlines,ewr,True,2023-09-10t08:30:00.000,100.0,ua1442,active
11580,united airlines,dca,True,2023-09-10t08:30:00.000,12.0,ua1954,active
11582,skywest airlines,bur,True,2023-09-10t08:30:00.000,40.0,oo5920,active
11583,southwest airlines,lax,True,2023-09-10t08:30:00.000,6.0,wn3682,active
11585,united airlines,pit,True,2023-09-10t08:32:00.000,106.0,ua2481,active
11592,delta air lines,lax,True,2023-09-10t08:35:00.000,17.0,dl2614,active
11595,united airlines,lih,True,2023-09-10t08:38:00.000,63.0,ua1111,active
11601,air canada,yyz,True,2023-09-10t08:40:00.000,17.0,ac738,active
11607,american airlines,dfw,True,2023-09-10t08:43:00.000,4.0,aa2807,active
11610,united airlines,san,True,2023-09-10t08:45:00.000,11.0,ua1041,active
11613,united airlines,sba,True,2023-09-10t08:45:00.000,14.0,ua5905,active
11615,frontier airlines,las,True,2023-09-10t08:46:00.000,9.0,f92078,active
11616,united airlines,cun,True,2023-09-10t08:46:00.000,14.0,ua1679,active
11621,united airlines,las,True,2023-09-10t08:47:00.000,30.0,ua2682,active
11622,alaska airlines,pae,True,2023-09-10t08:50:00.000,15.0,as2424,active
11623,alaska airlines,san,True,2023-09-10t08:50:00.000,10.0,as3466,active
11625,united airlines,psp,True,2023-09-10t08:50:00.000,13.0,ua5466,active
11629,united airlines,den,True,2023-09-10t08:54:00.000,25.0,ua1826,active
11630,united airlines,sbp,True,2023-09-10t08:55:00.000,9.0,ua5410,active
11635,united airlines,fat,True,2023-09-10t08:56:00.000,24.0,ua5299,active
11636,american airlines,clt,True,2023-09-10t08:58:00.000,168.0,aa671,active
11639,jetblue airways,fll,True,2023-09-10t08:59:00.000,27.0,b6578,active
11647,american airlines,ord,True,2023-09-10t09:00:00.000,11.0,aa2828,active
11650,alaska airlines,sjd,True,2023-09-10t09:00:00.000,12.0,as1428,active
11652,united airlines,koa,True,2023-09-10t09:00:00.000,21.0,ua1721,active
11657,united airlines,lax,True,2023-09-10t09:00:00.000,31.0,ua2123,active
11660,united airlines,tus,True,2023-09-10t09:00:00.000,14.0,ua5217,active
11661,southwest airlines,mdw,True,2023-09-10t09:00:00.000,20.0,wn3104,active
11663,united airlines,bwi,True,2023-09-10t09:01:00.000,55.0,ua2603,active
11666,united airlines,iah,True,2023-09-10t09:04:00.000,30.0,ua299,active
11669,alaska airlines,mco,True,2023-09-10t09:05:00.000,22.0,as368,active
11671,united airlines,ogg,True,2023-09-10t09:05:00.000,33.0,ua1832,active
11676,united airlines,mco,True,2023-09-10t09:06:00.000,23.0,ua1997,active
11680,united airlines,aus,True,2023-09-10t09:08:00.000,36.0,ua1107,active
11682,united airlines,sjd,True,2023-09-10t09:10:00.000,28.0,ua1189,active
11684,united airlines,boi,True,2023-09-10t09:10:00.000,21.0,ua5339,active
11688,united airlines,slc,True,2023-09-10t09:10:00.000,31.0,ua5872,active
11694,american airlines,lax,True,2023-09-10t09:15:00.000,8.0,aa3179,active
11699,alaska airlines,lax,True,2023-09-10t09:15:00.000,13.0,as3480,active
11702,united airlines,sna,True,2023-09-10t09:17:00.000,16.0,ua5415,active
11704,alaska airlines,pvr,True,2023-09-10t09:20:00.000,19.0,as1338,active
11705,alaska airlines,sna,True,2023-09-10t09:20:00.000,9.0,as3324,active
11708,united airlines,hnl,True,2023-09-10t09:20:00.000,63.0,ua1175,active
11711,hawaiian airlines,hnl,True,2023-09-10t09:25:00.000,27.0,ha11,active
11712,frontier airlines,dtw,True,2023-09-10t09:33:00.000,10.0,f91581,active
11722,united airlines,rdu,True,2023-09-10t09:53:00.000,48.0,ua689,active
11726,united airlines,sea,True,2023-09-10t09:55:00.000,74.0,ua1986,active
11728,alaska airlines,san,True,2023-09-10t10:00:00.000,18.0,as2036,active
11732,southwest airlines,phx,True,2023-09-10t10:00:00.000,17.0,wn3814,active
11734,alaska airlines,psp,True,2023-09-10t10:10:00.000,10.0,as3312,active
11737,delta air lines,sea,True,2023-09-10t10:15:00.000,18.0,dl2399,active
11745,american airlines,jfk,True,2023-09-10t10:20:00.000,55.0,aa164,active
